Llave,Valor,Image Name
Complicaciones,"
Sepsis, pyelopnephritis, absceso renal, insuficiencia renal, hipertensión y la insuficiencia renal en etapa terminal son posibles secuelas de la infección del tracto urinario, aunque la mayoría son poco probable que el resultado de un solo episodio de la infección aguda del tracto urinario.",
Referencias,"[1] Solicitud de autenticación Shibboleth. Disponible en: https://www-uptodate-com.ucc.idm.oclc.org/contents/acute-uncomplicated-cystitis-and-pyelonephritis-in-women?source=search_result&search=acute%20cystitis&selectedTitle=1~150. (Consultado: el 22 de de septiembre de 2017)
[2] Solicitud de autenticación Shibboleth. Disponible en: https://www-uptodate-com.ucc.idm.oclc.org/contents/acute-complicated-cystitis-and-pyelonephritis?source=related_link. (Consultado: 29no de septiembre de 2017)
",
5.2 La Pielonefritis Aguda,,
Presentación,"El inicio suele ser rápida y los síntomas aparecen durante un día o dos.

Hay dolor lumbar unilateral o bilateral, dolor suprapúbico o dolor de espalda.

La fiebre es variable, pero puede ser lo suficientemente alta para producir rigores.

Malestar, náuseas, vómitos, anorexia y diarrea ocurren ocasionalmente.

Puede o no puede que acompaña a los síntomas del tracto urinario inferior con frecuencia, disuria, hematuria grave o vacilación.

El paciente se ve mal y no es común el dolor a la palpación de la firma de uno o ambos riñones y moderada sensibilidad suprapúbica sin guarda.

Presentación en los niños, especialmente cuando son jóvenes, puede ser mucho menos específico y la cultura de la orina debe ser una investigación de rutina en infantes pyrexial y enfermo.

[1-4]",
Causas,"La fuente de la infección es a menudo una infección ascendente desde la vejiga, pero diseminación hematógena también puede ocurrir. Los organismos habituales son los mismos que para la infección del tracto urinario inferior (UTI):. Por ejemplo, Escherichia coli, Klebsiella spp, Proteus spp, Enterococcus spp..

La incidencia es más alta en mujeres de edad, seguido por bebés y personas mayores [4].

",
Evaluación,"Nuestro acceso a las investigaciones se limitará. Una tira reactiva de orina se puede realizar para buscar signos de daños en el tracto renal o infección. La ecografía renal puede mostrar riñones pequeños con una corteza fina.

Leu2 +, + Nit

Potencialmente hematuria microscópica también.
",
Administración,"<b> Primera Línea </b>
500 mg 3 veces al día cefalexina, 14 días.

<b> Segunda Línea </b>
Ciprofloxacina 500 mg 3 veces al día, 10-14 días
(No en el embarazo).
                
* <I> Si la infección severa, remito al hospital y / o dar ceftriaxona IV en su caso. </ I>
",
Complicaciones,"cicatrización renal -Progressive.
nefropatía -Reflux y ERC.
hipertensión -alumnos.
-Pyonephrosis.
glomeruloesclerosis -Focal.
cálculos -Staghorn con Proteus spp.

[5]",
Referencias,"[1] pielonefritis. síntomas de pielonefritis aguda. Información. Disponible en: https://patient.info/doctor/pyelonephritis. (Consultado: el 22 de de septiembre de 2017)
[2 [pielonefritis. síntomas de pielonefritis aguda. Información. Disponible en: https://patient.info/doctor/pyelonephritis. (Consultado: el 22 de de septiembre de 2017)
[3] Colgan, R., Williams, M. & Johnson, J. R. Diagnóstico y tratamiento de la pielonefritis aguda en la mujer. A.m. Fam. Médico 84, 519-526 (2011).
[4] pielonefritis. síntomas de pielonefritis aguda. Información. Disponible en: https://patient.info/doctor/pyelonephritis. (Consultado: el 22 de de septiembre de 2017)
[5] pielonefritis. síntomas de pielonefritis aguda. Información. Disponible en: https://patient.info/doctor/pyelonephritis. (Consultado: el 22 de de septiembre de 2017)
",
$Neurológica,,
6.1 Retraso En El Desarrollo,,
Presentación,"<b> Las etapas del desarrollo: Banderas rojas </b>
-No reflejo rojo (cualquier edad).
-No es sorprendente / girando a ruido (cualquier edad).
-No caminar a los 18 meses.
-No hablando por 2 años.
aseo -no entrenados por los 4 años.

Hay niños en estas comunidades con parálisis cerebral, deterioro cognitivo y otras anomalías congénitas. Muchos de estos niños nunca pueden haber seeked atención médica antes, por lo tanto, la comprensión de su condición subyacente puede ser en gran parte desconocida.

Con condiciones crónicas, se hace hincapié en la educación y el apoyo a la familia sobre la mejor manera de cuidar de su hijo. Las necesidades básicas deben abordarse y es necesario el seguimiento.

Estos pacientes deben ser apoyados para ver un pediatra para ayudar al diagnóstico y al tratamiento necesario. Una vez que el diagnóstico ha sido documentada por un médico panameño entonces la familia puede solicitar el apoyo social por parte del gobierno (Ángel Guardián).",
Causas,"Las causas de retraso en el desarrollo son múltiples: [121]

<b> retraso en el desarrollo motor </b>
Central:
Parálisis cerebral, hemiplejia, lesiones periféricas, deficiencia visual - que afectan la motricidad fina

trastornos sistémicos:
hipotiroidismo, etc.

Ambiental:
La desnutrición, la falta de práctica

<b> Retraso del habla / lenguaje </b>
Central:
Autismo, dificultades de aprendizaje global, aislado retraso en el habla, pérdida de la audición.

Ambiental:
La desnutrición, la falta de práctica

<b> Retraso Global </b>
malformaciones cerebrales, encefalopatía isquémica hipóxica, anomalías cromosómicas, infecciones de la antorcha, exposición a toxinas y las causas metabólicas.",
Diagnóstico,"El diagnóstico requiere la derivación al hospital.

Servir de enlace con un proveedor médico principal si sospecha retraso en el desarrollo en un paciente.

El sistema panameño a veces puede ofrecer apoyo (tanto financieros como de otro tipo) para ayudar al niño y su familia.",
Administración,Si ninguna bandera roja están presentes el niño necesita ser derivado a un pediatra general. Considere la visión pruebas formales / audición.,
6.2 Las Convulsiones,,
Presentación,"“La decisión clínica en cuanto a si se ha producido un ataque epiléptico debe basarse en la combinación de la descripción del ataque y síntomas diferentes. Una historia detallada del paciente y cualquier testigo es esencial “.

Hay convulsiones parciales simples y complejas parciales y generalizadas. Las convulsiones pueden comenzar tan parcial y el progreso a generalizada.

<b> Tonic tonicoclónicas (gran mal) </b>
convulsión -Generalised.
-Patient se vuelve rígido.
-Falls al suelo.
-Jerking movimientos de los 4 extremidades.
-Patient es inconsciente y no reacciona.
-Puede morder la lengua o doble incontinencia.
-Post somnolencia ictal - 30 minutos.

<b> Ausencia apoderamiento (pequeño mal) </b>
Convulsiones -Generalised.
-Patient convierte ausente.
-Insensible.
-Will no recordar el episodio.

<b> Convulsiones parciales </b>
-Se puede ser simple (consciente)
-Se puede ser compleja (alteración de la conciencia)
-Se puede afectar motoras, sensoriales, psique.

[1]",
Causas,"Existen numerosas causas de las convulsiones [2,3]. Las convulsiones pueden ser idiopática (epilepsia), debido a la enfermedad cerebrovascular, lesión en la cabeza, inducido por fármacos, debido a la alteración metabólica entre otros factores.

Una causa particular de pensar en nuestro medio es la infección del sistema nervioso central. Panamá es conocido por tener tasas relativamente altas de neurocisticercosis [126-129] Así que considere esto como una posibilidad.

Pseudocrisis siempre debe estar en el diferencial, ya que no son una presentación poco común en cualquier entorno.",
Diagnóstico,"Mientras que la historia es de crucial importancia para el diagnóstico de la causa de un ataque, es igual de importante que las causas reversibles se descartan. Como tal derivación al hospital, donde se pueden realizar análisis de sangre y de imagen es crucial.",
Administración,"Identificar los factores desencadenantes potenciales para las convulsiones y educar en consecuencia.

<b> posibles desencadenantes </b> [2,3,4]
-La privación del sueño.
: Medicamento no adhesión.
-Alcohol (exceso o retirada).
-Drogas.
/ luces -Bright parpadear.

Si un paciente ya está establecido en los medicamentos, cambiar a otros puede ser extremadamente problemático si no se controla adecuadamente. Como tal, esto sólo debe ser realizado por un especialista en nuestro medio.

Si usted sabe que un paciente está en la medicación, podemos volver a suministrarlo. Como alternativa, el viernes seguimiento se pueden utilizar para adquirir los medicamentos necesarios y luego proporcionar al paciente.

Para las decisiones sobre si es o no iniciar nuevos medicamentos, por lo general es mejor para referirse a un especialista. Esto se debe a los fármacos anti-epilépticos menudo requerirán una estrecha vigilancia cuando se inicia primero [4,5].

<I> La carbamazepina.
Adulto; Inicialmente 400 mg al día en 1-2 dosis divididas, aumentaron hasta que los síntomas controlados; usual dosis de 400-600 mg al día en 1-2 dosis divididas; máximo 1,6 g por día.
Niños de 5-11 años; Inicialmente 5 mg / kg al día en 1-2 dosis divididas, a continuación, el aumento en pasos de 2,5-5 mg / kg cada 3-7 días como se requiere, la dosis se debe aumentar lentamente; mantenimiento 10-15 mg / kg al día en 1-2 dosis divididas, aumentan si es necesario hasta 20 mg / kg al día en 1-2 dosis divididas.
Niño 12-17 años; Inicialmente 100-400 mg al día en 1-2 dosis divididas, a continuación, se incrementó a 400-1200 mg al día en 1-2 dosis divididas, aumentan si es necesario hasta 1,8 g al día en 1-2 dosis divididas, la dosis debe incrementarse lentamente. < / i>

<b> asesoramiento sobre métodos anticonceptivos para mujeres en edad fértil </b>
Todas las mujeres en la carbamazepina se les debe ofrecer la anticoncepción - incluyendo depo o referencia para Implanon / DIU / salpinguectomía.
Si una mujer se niega a pesar artilugio asesoramiento ácido fólico 5mg entonces se debe dar junto con carbamazepina (carbamazepina puede ser teratogénico pero es menos teratogénico de valproato de sodio) y se debe continuar siempre y cuando ella no está en la anticoncepción definitiva.

En cuanto a la neurocisticercosis; Albendazol puede tratar el causante Taenia solium [2], en general se recomienda que esto se hace en un contexto de atención secundaria. Esto se debe a la muerte de la cisticercos puede empeorar inicialmente la inflamación y el edema cerebral [5,6,7]. Como resultado, también puede ser necesaria la terapia con esteroides concomitante de dosis alta.",
Complicaciones,"“estigmatización y ocupacionales cuestiones sociales. Los problemas psicosociales: Los problemas de desarrollo en niños con crisis de inicio temprano.

dificultades cognitivas y de aprendizaje específicos que influyen en la educación si no se reconoce. AED efectos secundarios; riesgo de malformación fetal asociada con AEDs.

Accidentes resultantes de un ataque a menudo causan lesiones - por ejemplo, lesiones en la cabeza, laceraciones, fracturas y quemaduras “.",
Referencias,"[1] la primera convulsión. Apagones, convulsiones, desmayos y convulsiones causas. Disponible en: https://patient.info/doctor/First-Seizure. (Consultado: 24ta de octubre de 2017)
[2] Convulsiones: MedlinePlus enciclopedia médica. Disponible en: https://medlineplus.gov/ency/article/003200.htm. (Consultado: 24ta de octubre de 2017)
[3] García, H. H. et al. directrices de consenso actuales para el tratamiento de la neurocisticercosis. Clin. Microbiol. Rev. 15, 747-756 (2002).
[4] Comité Mixto de la Farmacopea. BNF 73 (GPT) de marzo de 2017. (2017).
[5] Coyle, C. M. & Tanowitz, H. B. Diagnóstico y tratamiento de la neurocisticercosis. Interdiscip. Perspect. Infectar. Dis. 2009, (2009).
[6] Bruno, E. et al. La epilepsia y la neurocisticercosis en América Latina: una revisión sistemática y meta-análisis. PLoS NEGL. Trop. Dis. 7, e2480 (2013).
[7] apoderamiento desencadena. Epilepsy Society (2013). Disponible en: https://www.epilepsysociety.org.uk/seizure-triggers. (Consultado: 24ta de octubre de 2017)
",
$Cardiovascular,,
7.1 Hipertensión,,
Presentación,"La hipertensión (HTN) es generalmente asintomática, excepto en la hipertensión acelerada.

Todos los pacientes necesitan una historia completa y un examen físico. Buscar una causa (renal, endocrino, etc, como anteriormente), en particular en los jóvenes, los severamente hipertensiva y aquellos con hipertensión resistente [1].

Toda persona tiene la presión arterial alta de vez en cuando. Para hacer un diagnóstico que es muy importante que un mínimo de 3 lecturas de presión arterial alta se tienen (al menos 2 en visitas separadas) antes de iniciar a alguien en tratamiento de por vida con efectos secundarios potenciales.

[2]",
Causas,"Medida de BP en al menos 3 ocasiones separadas: todos lecturas necesitan ser elevado para un diagnóstico de la hipertensión.

Repita las lecturas se pueden tomar en el seguimiento antes de iniciar el tratamiento.

* Si un paciente no ha tenido medicamentos por un tiempo y su PA es normal no reinicie los medicamentos.

<b> La hipertensión esencial </b>
-Idiopathic (estilo de vida / genética / otros).
: Representa la mayoría de los casos.
-Particularmente en el paciente de edad avanzada.

<b> Secondary Hipertensión </b>
enfermedad -Renal (CKD / PCKD).
-Endocrine condiciones.
-El embarazo.

Consulte el hospital si se sospecha de hipertensión secundaria en un paciente.

<b> factores de riesgo modificables </b>
-Sobrepeso.
la ingesta de sal en la dieta -Excess.
-Falta de actividad física.
el consumo de alcohol -Exceso.
-Estrés.

<b> factores de riesgo no modificables </b>
-Older edad.
-Historia familiar.
-Ethnicity. *
-Género.**

* <I> HTA es el factor de riesgo cardiovascular más común entre los panameños y por lo tanto un importante problema de salud pública en Panamá. </ I>

** <i> PA tiende a ser mayor en los hombres que en las mujeres hasta la edad de 65 años, mientras que lo contrario tiende a ser verdad sobre la edad de 65 años. </ I>

[3,4]",
Evaluación,"<b> Evaluación de rutina </b>
-Screen para la diabetes.
-Riesgo evaluación de los factores.
consejos -Lifestyle.
-Aspirina prevención secundaria, si es necesario. *
-Urine varilla de nivel. **
-Fundoscopy si los problemas visuales. **
-Revisión de medicamentos ***
-Pregunte acerca de los síntomas posturales.
-Mark durante 3 meses de seguimiento.
-Considere causas secundarias (por ejemplo, si el joven).

* <I> El uso de aspirina sólo en pacientes con angina, IM previo, enfermedad arterial periférica, previa TIA / accidente cerebrovascular. NO prevención primaria. </ I>

** <i> para evaluar el daño de órgano final </ i>

*** <i> de la dosis, efectos secundarios, los problemas y la adherencia. </ I>

<I> ver sección salud materna para la hipertensión en el embarazo, la hipertensión inducida por el embarazo y la preeclampsia. </ I>

[2, 3, 4]",
Diagnóstico,"Medida de BP en al menos 3 ocasiones separadas (mínimo 2 días diferentes); todas las lecturas deben ser elevados. Esto es vital para reducir al mínimo los diagnósticos inadecuados en pacientes con 'hipertensión de bata blanca'.

lecturas deberá volver a tomarse en el seguimiento antes de iniciar el tratamiento.

<b> Paciente no diabética </b>
Menores de 60 años:
Sistólica: mayor o igual a 140 mmHg OR
Diastólica: mayor o igual a 90 mmHg.

Más de 60:
Sistólica: mayor o igual a 150 mmHg OR
Diastólica: mayor o igual a 90 mmHg.

<b> Severe </b>
Sistólica: mayor o igual a 180 mmHg OR
Diastólica: mayor o igual a 110 mmHg.

<b> paciente diabético </b>
Sistólica: mayor o igual a 140 mmHg OR
Diastólica: mayor o igual a 80 mmHg.

<b> diabética con daño de órgano final </b>
Sistólica: mayor o igual a 130 mmHg OR
Diastólica: mayor o igual a 80 mmHg.

<b> inducida por el embarazo Hipertensión </b>
Sistólica: mayor o igual a 140 mmHg OR
Diastólica: mayor o igual a 90 mmHg.


",
Administración,"asesoramiento estilo de vida antes de iniciar el tratamiento, en su caso.

aconsejar a los pacientes sobre el estado y la importancia del control a largo plazo y seguimiento.

Sólo empezar el tratamiento si un suministro continuo de la medicación se puede asegurar.

Si la hipertensión no controlada o hipertensión grave, se refieren a las investigaciones para buscar una causa.

<b> Si un paciente hipertenso no ha tenido medicamentos por un tiempo y su PA es normal no reinicie los medicamentos. </b>

<b> La hipertensión esencial </b>
Primera linea:
Amlodipino 5 mg una vez al día. *
Aumentó a 10 mg una vez al día como máximo.

* <I> La amlodipina es una buena elección en nuestro medio ya que no hay necesidad de monitorización de la función renal y causa menos hipotensión postural particularmente en los ancianos. </ I>

Segunda linea:
Enalapril 10 mg por la noche (efectos secundarios menos posturales).
Aumentó a 20 mg una vez por la noche max.

<I> Los pacientes deben tener una prueba de creatinina al inicio del estudio, después de comenzar un IECA y anualmente. </ I>

<I> Uso Enalapril primera línea de la diabetes o menores de 55 años (sobre todo si la proteinuria). No utilizamos una dosis más alta en nuestro medio. <b> contraindicado en el embarazo y la lactancia. </b> </ i>

Tercera línea:
Atenolol 50 mg una vez al día.

<I> Si ECV conocida (angina de pecho / IM previo) a continuación, iniciar con atenolol. No use dosis más altas como efectos secundarios aumentan en gran medida. </ I>

[5, 6]",
Complicaciones,"remisión urgente a un hospital en caso de crisis hipertensiva maligna (sistólica de más de 200 mm Hg, diastólica de más de 130 mm Hg) o hipertensión grave con acompañado por lesión de órganos diana tales como encefalopatía, disección, edema pulmonar, nefropatía, eclampsia, edema de papila y / o anemia hemolítica angiopática.

En caso de urgencia hipertensiva (sistólica más de 180 mmHg, más de 120 mm Hg) sin inminente daño de órgano. El tratamiento debe reducir de manera segura BP en unos pocos días. Teniendo en cuenta el entorno en que estamos, ingreso en el hospital debe ser considerado.

Si la presión arterial severa se corrige rápidamente a que hay un riesgo de causar un accidente cerebrovascular hipoperfusión.

Las complicaciones de la hipertensión crónica: accidente cerebrovascular o AIT, la demencia, la cepa hipertrofia / ventricular izquierda ventricular izquierda, enfermedad cardíaca coronaria, enfermedad arterial periférica, insuficiencia renal o la retinopatía hipertensiva.",
Referencias,"[1] La hipertensión | Doctor. Disponible en: https://patient.info/doctor/hypertension. (Consultado: el 22 de de septiembre de 2017).
[2] La hipertensión | Doctor. Disponible en: https://patient.info/doctor/hypertension. (Consultado: el 22 de de septiembre de 2017).
[3] Mc Donald Posso, A. J. et al. La presión arterial alta en Panamá: prevalencia, perfil sociodemográfico y biológico, el tratamiento y control (STROBE). Medicina 93, e101 (2014).
[4] La hipertensión | Doctor. Disponible en: https://patient.info/doctor/hypertension. (Consultado: el 22 de de septiembre de 2017).
[5] La hipertensión | Doctor. Disponible en: https://patient.info/doctor/hypertension. (Consultado: el 22 de de septiembre de 2017).
[6] La hipertensión en adultos: diagnóstico y manejo | Orientación y directrices | BONITO.

",
7.2 Pediátrica Soplos Del Corazón,,
Presentación,"La cardiopatía congénita afecta a 8 por cada 1.000 niños nacidos.

La lesión más común es un VSD.

En los países desarrollados los recién nacidos tienen un ""cheque recién nacido poco después del nacimiento y de nuevo a las 6 semanas, que incluye la auscultación de soplos.

Dado que la mayoría de nuestros pacientes dan a luz en comunidad, esta prueba se suele perder.

Siempre examine los ruidos cardíacos en niños menores de 2 años; esta puede ser la primera vez que han visto a un médico.

La fiebre reumática debido a las infecciones por estreptococos no tratada puede conducir a la enfermedad valvular en mayor niños- más comúnmente> 3 años de edad.
",
Evaluación,"<b> Historia </b>
Los síntomas en los bebés: sudoración, mala alimentación, infecciones recurrentes, retraso en el desarrollo.

Los síntomas en los niños mayores: dificultad para respirar, disminución de la tolerancia al ejercicio, palpitaciones, dolor en el pecho.

Hacer nacer integral y la historia materna y la historia familiar.

<b> Examen </b>
altura de la trama y de verificación de peso y percentiles.

Mida BP y saturaciones de oxígeno.

Los signos de dificultad respiratoria.

Los rasgos dismórficos: por ejemplo, hipertelorismo (ojos separados), pliegues epicánticos, puente nasal plano, anomalías del paladar, la ausencia de caracteres sexuales secundarios cuando se debe esperar.

El síndrome genético más común es el síndrome de Down. Todos los bebés / niños con síndrome de Down requieren un eco pediátrica, incluso si no tienen un murmullo.

examen completo cardiovasculares: pulsos (compruebe siempre femorales en los bebés), discotecas, cicatrices quirúrgicas, murmullos, emociones, arcadas, palpar el hígado.

ECG / Radiografía de tórax no son útiles en la evaluación de los murmullos pediátricos.
",
Diagnóstico,"<b> soplos inocentes </b>
-Los vistos en niños mayores (de más de 2 años).
-Suave.
-Systolic.
-Localised.
-Buzzing / calidad musical.
-Vary con la postura / posición.
-Puede ser acentuada por la circulación hiperdinámica durante una enfermedad intercurrente.
-No rasgos dismórficos.
-Normal crecimiento.


",
Remisión Y Seguimiento,"<b> Derivación y seguimiento </b>
Véase el diagrama de flujo para obtener información sobre cuándo remitir.

Discutir todos los casos de murmullos con la LMP flotante que se encargará de cita con el cardiólogo pediátrico en David.

Si es posible, obtener datos de contacto del cuidador para permitir una mayor coordinación de la atención.

LMP para asegurar paciente se añade tanto a la comunidad seguimiento lista y los niños ‘’ cardiacas seguimiento lista.

Para los niños con un diagnóstico conocidos Consulte la lista de seguimiento para el plan (que se actualizará después de eco cita en David).",cardiac_kids_flowchart
$Endocrino,,
Hipoglucemia,"<b> Causas </b>
-Alumnos de medicamentos para la diabetes.
mujeres en periodo de -Amamante que no han comido.
-Fasting pacientes sin reservas de glucógeno.
Reactivo - después de la comida grande.
-Enfermedad cronica del higado.
enfermedad hepática -Metastatic.

<b> Diagnóstico </b>
glucosa -sangre bajo 72 mg / dl (4.0 mmol / L).
-En caso siempre ser tratado.
prueba-repetición en caso de duda.

<b> tratamiento </b>
Bien paciente:
10-20g glucosa se administra por vía oral, ya sea en forma líquida o como azúcar granulado (dos cucharadas) o terrones de azúcar.

Repita la glucosa en sangre capilar después de 10-15 minutos; si el paciente es todavía hipoglucemiante entonces el anterior se puede repetir.

Si el paciente está en Glibenclamida u otro medicamento para la diabetes de acción prolongada, insertar y cánula IV y monitorear azúcar en la sangre durante una hora (2-3 horas con glibenclamida). se puede producir hipoglucemia de rebote. Enure el paciente continúa para comer. Detener el medicamento que la causa y organizar un examen de medicina interna urgente.

Mal estado de salud, somnolencia o falta de cooperación del paciente:
La administración intravenosa de 250-500ml, 5% STAT dextrosa. En esta etapa el ingreso hospitalario de emergencia será necesario.

[8]

",
Cad Y Shh,"cetoacidosis diabética (CAD) y el estado hiperosmolar hiperglucémico (HHS) son complicaciones metabólicas agudas de la diabetes mellitus que pueden ocurrir en pacientes con tanto de tipo 1 y 2 diabetes mellitus.

El diagnóstico oportuno, la evaluación clínica y bioquímica completa, y una gestión eficaz es clave para la resolución exitosa de CAD y SHH.

Los componentes críticos de la gestión de las crisis de hiperglucemia incluyen la coordinación de la reanimación con líquidos, el tratamiento con insulina, y la reposición de electrolitos junto con la monitorización continua del paciente usando herramientas de laboratorio disponibles para predecir la resolución de la crisis de hiperglucemia '. [1]

<b> Causas de CAD y SHH </b>
-previamente pacientes no diagnosticados.
-poor adherencia a la medicación.
: Infección / sepsis.
Deshidratación / vómitos.
-Alcohol.
-Trauma / cirugía.
-PE, MI, otro tipo de estrés.

<b> cetoacidosis diabética (CAD) </b>
-Criada azúcar en sangre y
-Criada cetonas (urinaria ++ / suero) y
-Acidosis
-Más común en la DM tipo 1.

Los pacientes suelen ser mal o comatosed. Tienen el olor aliento 'gota de pera' característica (a partir de las cetonas). No podemos confirmar el diagnóstico CAD pero si un paciente no se encuentra bien tiene un alto nivel de azúcar y cetonas urinarias +++ luego tener un bajo umbral de manejar como la cetoacidosis diabética. Los niños a menudo se quejan de dolor abdominal. La CAD ocurre generalmente dentro de horas del factor precipitante.

mangagement:
-El tratamiento más importación inicial es fluidos IV. *
-Este ayudará a aumentar la producción de orina y ayudan a comenzar a revertir la acidosis.
-Dar IV ceftriaxona si mal.
-Urgent transporte al hospital continente.
-Considere insulina IV. **

* <I> Adultos 1 litro / hora durante 1-2 horas. Niños: 10-20ml / kg / hora. Sea cauteloso en pacientes con insuficiencia cardíaca, la fragilidad y la desnutrición. </ I>

** <i> 1) si está disponible 2) el proveedor es competente en dar (0,05 Unidades / kg / hora). Si el hospital es de 1-2 horas o menos lejos entonces fluidos IV y el transporte será suficiente. </ I>

<b> hiperglucémico hiperosmolar Estado (HHS). </b>
-Anteriormente conocido como HONK.
-Muy glucosa en la sangre alta.
-Severe deshidratación.
-Más común en DM tipo 2.

mangagement:
-El tratamiento más importación inicial es fluidos IV. *
-Este ayudará a aumentar la producción de orina y ayudan a comenzar a revertir la acidosis.
-Dar IV ceftriaxona si mal.
-Urgent transporte al hospital continente.

* <I> Adultos 1 litro / hora durante 1-2 horas. Niños: 10-20ml / kg / hora. Sea cauteloso en pacientes con insuficiencia cardíaca, la fragilidad y la desnutrición. </ I>



",
8.1 Diabetes,,
Presentación,"Los síntomas incluyen poliuria, polidipsia y (en la diabetes tipo 1 o diabetes avanzada de tipo 2) la pérdida de peso sin explicación.

Si adelgazar comprobar siempre la presencia de cetonas en la orina. ++ cetonas y elevación del azúcar en la sangre es consistente con CAD y garantizaría un tratamiento urgente y traslado al hospital.

[1]",
Causas,"<b> diabetes mellitus tipo 1 </b>
-Enfermedad autoinmune.
-Causas destrucción de células de los islotes.
-Disminución de la producción de insulina.

<b> Diabetes Mellitus tipo 2 </b>
factores -Genetic y ambientales.
asociación -Fuerte con obesidad troncal.
-Resistencia a la insulina.
aumento -Inicialmente producción de insulina.
-Las últimas etapas; disminución de la producción de insulina.

<b> 'Tipo 3' Diabetes Mellitus </b>
-desde el daño al páncreas.
-p.ej. Pancreatitis crónica.
-Destrucción de células de los islotes.
-Disminución de la producción de insulina.
-Por lo general, tienen una disfunción exocrina también.

[2]
",
Evaluación,"Una diabetes chequeo de rutina debe incluir los siguientes puntos:
Nivel de Azúcar en sangre (BSL) en la clínica (BSL y diario desde su casa si el paciente tiene propia máquina).

En objetivo general para BSL entre 4-7 mmol / L (72 a 126 mg / dL). Sin embargo, debe ser menos estricto (6-10) si un paciente está en riesgo de hipoglucemia (es decir, sobre glibenclamida o insulina).

Comprobar la presión de la sangre (ver Hipertensión 7,2) y tira reactiva de orina (para sangre y proteínas).

Asegurar la prevención secundaria de la enfermedad isquémica del corazón, enfermedad vascular periférica y eventos cerebrovasculares con regular de aspirina 81 mg una vez al día si es necesario (por ejemplo, la historia de la cardiopatía isquémica, Stroke / TIA, o enfermedad vascular periférica). La aspirina no se da para la prevención primaria debido a mayores riesgos frente a los beneficios.

(Tabla de factores de riesgo DM)

Revisión de los factores de riesgo y consejos de estilo de vida (por encima).

Examen para la neuropatía periférica y asesoramiento en materia de pie y cuidado de las uñas.

Preguntar acerca de cualquier episodio de hipoglucemia si en agente de segunda línea.

Revisión de la medicación - dosis, efectos secundarios, problemas y adherencia.

Marcar para comprobar próximo clínica.

Los pacientes diabéticos deben tener principios de los niveles de HbA1c y los niveles de creatinina.

Si hay signos de daño secundario órgano (nefropatía, retinopatía, neuropatía, PVD) o pobre control glucémico a pesar de la terapia oral máxima favor discutir con el proveedor de la medicina de plomo en relación con si se justifica una remisión a la atención secundaria.

",dm_risk_factor_table
Diagnóstico,"Para hacer un diagnóstico de la diabetes dos niveles de azúcar en la sangre separadas (BSLs) (incluyendo BSL uno en ayunas) o uno lectura alta en presencia de los síntomas es necesario.

De vez en cuando una lectura alta se puede producir si un paciente tiene una enfermedad aguda concurrente (especialmente la infección), lo mejor es repetir un BSL ayuno después del tratamiento de la enfermedad antes de diagnosticar la diabetes.

Por favor asegúrese de que está familiarizado con las diferentes unidades utilizadas para medir BSL (mmol / L y mg / dl) para evitar la confusión de diagnóstico. Una tabla de conversión está disponible en la clínica.

<b> Diabetes </b>
Random BSL 200 mg / dl o más (11,1 mmol / L).
El ayuno BSL 126 mg / dl o más (7,0 mmol / L).

<b> Glucosa alteración de la tolerancia (IGT) </b>
Random BSL 140 a 199 mg / dl (7,8 - 11,0 mmol / L)
Glucosa Debilitada en Ayunas (IFG):
El ayuno BSL 100 a 125 mg / dl (5.6 a 6.9 mmol / L)

Los pacientes con intolerancia a la glucosa y IFG están en alto riesgo de desarrollar diabetes. Estos pacientes deben recibir el mismo consejo de estilo de vida que los pacientes con diabetes tipo 2 para ayudar a retrasar la aparición de la diabetes. Los mismos factores de riesgo deben dirigirse también.

El diagnóstico de intolerancia a la glucosa se hace generalmente con un Test de Tolerancia Oral a la Glucosa (SOG) después anormalmente alta BSL (pero que no cumplen los criterios para la diabetes). Sin embargo, el SOG no está fácilmente disponible en nuestro medio así asegurar que estos pacientes tienen una glucemia en ayunas tomada y asesoramiento / tratamiento se basa en ese resultado.

Si es posible una HbA1c anual y la función renal se deben realizar para el seguimiento del tratamiento.

[3]
",
